cond,block_num,trial_num,press_glob_time,stim_on,correct,rare_stim,isi_jit,correct_resp,common_stim,stim,common_resp,response,glob_init_time,isi,rt,rare_resp
common,1,1,18.447018000064418,1.0350609000306576,False,X,1,J,O,O,J,F,16.379271700046957,1.0180140000302345,0.04950869991444051,F
rare,1,2,21.781324800103903,1.0334048999939114,False,X,1,F,O,X,J,J,19.647597700124606,1.0165819998364896,0.11709160008467734,F
